Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
   Haleakala NP,HALE1,  OCf,     20.81,   -156.28,   1153.00,      0.21,      0.33,      0.38,      0.30,      0.28,      0.18,      0.16,      0.20,      0.17,      0.21,      0.53,      0.26,      0.13,      0.13,      0.33,      0.14,      0.12,      0.08,      0.09,      0.06,      0.23,      0.17,      0.67,      0.10,
   Haleakala NP,HALE1, NO3f,     20.81,   -156.28,   1153.00,      0.14,      0.16,      0.18,      0.26,      0.25,      0.15,      0.13,      0.14,      0.10,      0.13,      0.19,      0.19,      0.08,      0.13,      0.08,      0.11,      0.15,      0.11,      0.11,      0.09,      0.07,      0.10,      0.11,      0.11,
   Haleakala NP,HALE1, SO4f,     20.81,   -156.28,   1153.00,      1.00,      0.84,      0.54,      0.80,      1.32,      0.63,      0.51,      0.55,      0.56,      0.67,      1.02,      1.25,      1.05,      0.65,      0.42,      0.53,      0.94,      0.36,      0.31,      0.23,      0.73,      0.70,      0.81,      1.06,
Hawaii Volcanoe,HAVO1, NH4f,     19.43,   -155.26,   1258.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Hawaii Volcanoe,HAVO1,  ECf,     19.43,   -155.26,   1258.00,      0.10,      0.05,      0.06,      0.04,      0.05,      0.01,      0.01,      0.02,      0.01,      0.03,      0.04,      0.06,      0.04,      0.06,      0.03,      0.03,      0.05,      0.01,   -999.00,      0.01,      0.01,      0.04,      0.04,      0.06,
Hawaii Volcanoe,HAVO1,  OCf,     19.43,   -155.26,   1258.00,      0.34,      0.14,      0.21,      0.15,      0.12,      0.07,   -999.00,      0.05,      0.03,      0.20,      0.13,      0.20,      0.15,      0.08,      0.12,      0.11,      0.13,      0.04,   -999.00,   -999.00,      0.03,      0.14,      0.09,      0.08,
Hawaii Volcanoe,HAVO1, NO3f,     19.43,   -155.26,   1258.00,      0.06,      0.07,      0.06,      0.09,      0.11,      0.06,      0.06,      0.06,      0.04,      0.05,      0.06,      0.11,      0.04,      0.03,      0.04,      0.05,      0.07,      0.05,      0.05,      0.04,      0.03,      0.04,      0.03,      0.06,
Hawaii Volcanoe,HAVO1, SO4f,     19.43,   -155.26,   1258.00,      4.54,      1.43,      8.93,      0.92,      1.63,      0.45,      0.44,      1.82,      0.53,      0.91,      2.20,      2.36,      3.98,      1.46,      5.67,      1.09,      2.71,      0.31,      0.23,      4.19,      0.46,      1.99,      2.50,      2.38,
   Hells Canyon,HECA1, NH4f,     44.97,   -116.84,    655.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Hells Canyon,HECA1,  ECf,     44.97,   -116.84,    655.00,      0.14,      0.11,      0.08,      0.09,      0.11,      0.11,      0.15,      0.40,      0.11,      0.23,      0.36,      0.30,      0.08,      0.06,      0.05,      0.06,      0.06,      0.05,      0.10,      0.47,      0.10,      0.08,      0.26,      0.20,
   Hells Canyon,HECA1,  OCf,     44.97,   -116.84,    655.00,      0.61,      0.45,      0.32,      0.43,      0.66,      0.66,      1.48,      2.45,      0.81,      1.35,      1.37,      0.75,      0.38,      0.23,      0.17,      0.28,      0.37,      0.35,      1.04,      2.10,      0.52,      0.40,      1.42,      0.51,
   Hells Canyon,HECA1, NO3f,     44.97,   -116.84,    655.00,      2.06,      0.71,      0.08,      0.08,      0.06,      0.07,      0.08,      0.10,      0.12,      0.07,      0.44,      1.55,      2.43,      0.83,      0.04,      0.06,      0.03,      0.06,      0.07,      0.04,      0.09,      0.03,      0.87,      1.76,
   Hells Canyon,HECA1, SO4f,     44.97,   -116.84,    655.00,      0.52,      0.39,      0.32,      0.57,      0.54,      0.40,      0.38,      0.39,      0.40,      0.32,      0.25,      0.36,      0.46,      0.24,      0.29,      0.26,      0.31,      0.26,      0.17,      0.13,      0.11,      0.15,      0.15,      0.31,
Hercules-Glades,HEGL1, NH4f,     36.61,    -92.92,    404.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Hercules-Glades,HEGL1,  ECf,     36.61,    -92.92,    404.00,      0.36,      0.35,      0.31,      0.41,      0.57,      0.54,      0.41,      0.36,      0.43,      0.46,      0.38,      0.42,      0.18,      0.12,      0.15,      0.24,      0.37,      0.27,      0.20,      0.17,      0.15,      0.16,      0.17,      0.18,
Hercules-Glades,HEGL1,  OCf,     36.61,    -92.92,    404.00,      1.15,      1.32,      1.52,      1.99,      2.59,      2.61,      1.82,      1.85,      2.21,      1.94,      1.65,      1.62,      0.62,      0.45,      1.07,      2.04,      2.46,      1.39,      0.77,      0.88,      1.07,      1.11,      0.98,      0.92,
Hercules-Glades,HEGL1, NO3f,     36.61,    -92.92,    404.00,      1.77,      1.71,      1.36,      0.68,      0.32,      0.20,      0.16,      0.15,      0.19,      0.49,      0.74,      3.25,      0.98,      0.68,      1.29,      0.54,      0.16,      0.09,      0.06,      0.08,      0.06,      0.49,      0.60,      3.24,
Hercules-Glades,HEGL1, SO4f,     36.61,    -92.92,    404.00,      2.40,      2.93,      2.15,      3.04,      4.03,      5.69,      5.99,      5.97,      5.55,      3.17,      1.95,      1.92,      1.77,      2.46,      1.37,      1.79,      2.44,      3.87,      4.11,      3.83,      4.73,      1.93,      1.80,      1.48,
       Hillside,HILL1, NH4f,     34.43,   -112.96,   1510.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Hillside,HILL1,  ECf,     34.43,   -112.96,   1510.00,      0.11,      0.08,      0.07,      0.10,      0.11,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      0.10,      0.05,      0.05,      0.06,      0.08,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Hillside,HILL1,  OCf,     34.43,   -112.96,   1510.00,      0.31,      0.22,      0.34,      0.46,      0.40,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      0.24,      0.12,      0.13,      0.22,      0.30,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Hillside,HILL1, NO3f,     34.43,   -112.96,   1510.00,      0.39,      0.34,      0.24,      0.27,      0.19,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      0.48,      0.44,      0.27,      0.28,      0.08,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Hillside,HILL1, SO4f,     34.43,   -112.96,   1510.00,      0.40,      0.40,      0.49,      0.89,      0.82,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      0.36,      0.27,      0.24,      0.60,      0.37,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Hoover,HOOV1, NH4f,     38.09,   -119.18,   2560.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Hoover,HOOV1,  ECf,     38.09,   -119.18,   2560.00,      0.03,      0.03,      0.07,      0.08,      0.07,      0.11,      0.15,      0.16,      0.13,      0.11,      0.05,      0.03,      0.02,      0.03,      0.04,      0.04,      0.04,      0.08,      0.06,      0.06,      0.07,      0.07,      0.05,      0.04,
         Hoover,HOOV1,  OCf,     38.09,   -119.18,   2560.00,      0.15,      0.17,      0.24,      0.28,      0.39,      0.77,      1.25,      0.99,      0.90,      0.76,      0.33,      0.14,      0.09,      0.13,      0.14,      0.17,      0.29,      0.54,      0.55,      0.37,      0.30,      0.57,      0.24,      0.09,
         Hoover,HOOV1, NO3f,     38.09,   -119.18,   2560.00,      0.09,      0.31,      0.10,      0.22,      0.11,      0.10,      0.09,      0.08,      0.21,      0.10,      0.05,      0.02,      0.12,      0.42,      0.15,      0.22,      0.06,      0.09,      0.04,      0.04,      0.15,      0.09,      0.07,      0.02,
         Hoover,HOOV1, SO4f,     38.09,   -119.18,   2560.00,      0.15,      0.20,      0.25,      0.58,      0.62,      0.69,      0.83,      0.70,      0.54,      0.38,      0.24,      0.10,      0.10,      0.10,      0.19,      0.26,      0.32,      0.31,      0.24,      0.27,      0.22,      0.17,      0.17,      0.10,
        Houston,HOUS1, NH4f,      7.00,      5.00,      9.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
        Houston,HOUS1,  ECf,      7.00,      5.00,      9.00,      0.64,      0.56,      0.66,      0.48,      0.67,      0.56,      0.44,      0.78,   -999.00,   -999.00,   -999.00,   -999.00,      0.39,      0.13,      0.24,      0.24,      0.21,      0.40,      0.25,      0.50,   -999.00,   -999.00,   -999.00,   -999.00,
        Houston,HOUS1,  OCf,      7.00,      5.00,      9.00,      1.72,      1.39,      1.84,      1.60,      1.96,      1.50,      1.29,      1.96,   -999.00,   -999.00,   -999.00,   -999.00,      1.09,      0.41,      0.72,      0.53,      0.94,      1.13,      0.92,      1.15,   -999.00,   -999.00,   -999.00,   -999.00,
        Houston,HOUS1, NO3f,      7.00,      5.00,      9.00,      1.37,      1.15,      1.26,      0.86,      0.58,      0.47,      0.50,      0.39,   -999.00,   -999.00,   -999.00,   -999.00,      0.63,      0.68,      0.87,      0.44,      0.11,      0.19,      0.15,      0.14,   -999.00,   -999.00,   -999.00,   -999.00,
        Houston,HOUS1, SO4f,      7.00,      5.00,      9.00,      3.11,      3.86,      3.01,      3.43,      5.27,      4.89,      3.08,      5.69,   -999.00,   -999.00,   -999.00,   -999.00,      1.03,      2.00,      1.77,      1.80,      1.89,      3.51,      1.31,      3.01,   -999.00,   -999.00,   -999.00,   -999.00,
 Ike's Backbone,IKBA1, NH4f,     34.34,   -111.68,   1297.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Ike's Backbone,IKBA1,  ECf,     34.34,   -111.68,   1297.00,      0.12,      0.09,      0.15,      0.13,      0.23,      0.26,      0.28,      0.11,      0.20,      0.26,      0.20,      0.21,      0.08,      0.06,      0.10,      0.07,      0.26,      0.30,      0.29,      0.04,      0.25,      0.26,      0.11,      0.04,
 Ike's Backbone,IKBA1,  OCf,     34.34,   -111.68,   1297.00,      0.45,      0.33,      0.49,      0.54,      1.30,      1.43,      2.22,      1.28,      1.69,      1.82,      1.37,      1.12,      0.24,      0.14,      0.25,      0.27,      1.46,      2.13,      1.39,      0.21,      0.81,      0.99,      0.60,      0.24,
 Ike's Backbone,IKBA1, NO3f,     34.34,   -111.68,   1297.00,      0.20,      0.24,      0.33,      0.26,      0.39,      0.42,      0.17,      0.09,      0.15,      0.11,      0.07,      0.18,      0.18,      0.28,      0.28,      0.17,      0.25,      0.07,      0.11,      0.02,      0.10,      0.07,      0.05,      0.14,
 Ike's Backbone,IKBA1, SO4f,     34.34,   -111.68,   1297.00,      0.43,      0.38,      0.54,      0.88,      1.33,      1.41,      0.96,      0.91,      1.00,      0.99,      0.62,      0.26,      0.34,      0.25,      0.24,      0.50,      0.60,      0.47,      0.49,      0.20,      0.33,      0.58,      0.61,      0.16,
 Indian Gardens,INGA1, NH4f,     36.08,   -112.13,   1166.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Indian Gardens,INGA1,  ECf,     36.08,   -112.13,   1166.00,      0.06,      0.07,      0.09,      0.11,      0.14,      0.36,      0.76,      0.13,      0.14,      0.18,      0.16,      0.16,   -999.00,      0.05,      0.06,      0.04,      0.03,      0.47,      0.63,      0.04,      0.06,      0.05,      0.17,      0.08,
 Indian Gardens,INGA1,  OCf,     36.08,   -112.13,   1166.00,      0.18,      0.32,      0.37,      0.54,      0.62,      1.77,      4.99,      0.66,      0.61,      0.81,      0.64,      0.45,   -999.00,      0.10,      0.31,      0.16,      0.29,      2.60,      4.45,      0.22,      0.21,      0.22,      0.68,      0.22,
 Indian Gardens,INGA1, NO3f,     36.08,   -112.13,   1166.00,      0.11,      0.13,      0.11,      0.21,      0.19,      0.28,      0.23,      0.06,      0.13,      0.11,      0.08,      0.17,   -999.00,      0.13,      0.10,      0.19,      0.16,      0.23,      0.13,      0.04,      0.07,      0.10,      0.07,      0.20,
 Indian Gardens,INGA1, SO4f,     36.08,   -112.13,   1166.00,      0.36,      0.41,      0.47,      0.92,      0.88,      1.36,      1.15,      1.05,      1.00,      0.95,      0.56,      0.35,   -999.00,      0.21,      0.17,      0.52,      0.46,      0.61,      0.29,      0.46,      0.31,      0.42,      0.42,      0.14,
 Isle Royale NP,ISLE1, NH4f,     47.46,    -88.15,    182.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Isle Royale NP,ISLE1,  ECf,     47.46,    -88.15,    182.00,      0.15,      0.11,      0.13,      0.22,      0.27,      0.28,      0.22,      0.30,      0.18,      0.12,      0.19,      0.12,      0.16,      0.11,      0.14,      0.21,      0.22,      0.22,      0.17,      0.24,      0.15,      0.12,      0.25,      0.10,
 Isle Royale NP,ISLE1,  OCf,     47.46,    -88.15,    182.00,      0.52,      0.42,      0.44,      0.71,      0.87,      1.42,      1.30,      2.20,      0.78,      0.64,      0.75,      0.36,      0.39,      0.22,      0.36,      0.62,      0.49,      1.02,      0.78,      2.64,      0.41,      0.52,      0.80,      0.29,
 Isle Royale NP,ISLE1, NO3f,     47.46,    -88.15,    182.00,      1.09,      1.47,      1.01,      0.40,      0.32,      0.08,      0.09,      0.09,      0.06,      0.14,      0.68,      0.38,      1.42,      2.80,      1.89,      0.50,      0.40,      0.05,      0.08,      0.08,      0.05,      0.21,      0.92,      0.64,
 Isle Royale NP,ISLE1, SO4f,     47.46,    -88.15,    182.00,      1.26,      1.38,      1.37,      1.72,      1.94,      2.32,      2.29,      1.91,      1.67,      0.74,      0.95,      1.20,      0.67,      0.68,      0.99,      1.55,      1.69,      2.78,      2.82,      2.30,      2.19,      0.48,      0.56,      1.08,
 Isle Royale NP,ISRO1, NH4f,     47.92,    -89.15,    213.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Isle Royale NP,ISRO1,  ECf,     47.92,    -89.15,    213.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Isle Royale NP,ISRO1,  OCf,     47.92,    -89.15,    213.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Isle Royale NP,ISRO1, NO3f,     47.92,    -89.15,    213.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Isle Royale NP,ISRO1, SO4f,     47.92,    -89.15,    213.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Jarbidge Wilder,JARB1, NH4f,     41.89,   -115.43,   1869.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Jarbidge Wilder,JARB1,  ECf,     41.89,   -115.43,   1869.00,      0.05,      0.03,      0.04,      0.06,      0.06,      0.08,      0.13,      0.11,      0.10,      0.09,      0.04,      0.05,      0.04,      0.02,      0.02,      0.03,      0.04,      0.04,      0.08,      0.04,      0.05,      0.04,      0.03,      0.06,
